epoch,accuracy,loss,val_accuracy,val_loss
0,0.07215332239866257,3.179518699645996,0.15900735557079315,3.029958963394165
1,0.1116071417927742,3.0806610584259033,0.1419753134250641,3.039240837097168
2,0.20800450444221497,2.930147647857666,0.3180147111415863,2.8146467208862305
3,0.3058035671710968,2.8156421184539795,0.3395061790943146,2.8572497367858887
4,0.3480834364891052,2.6827521324157715,0.4788602888584137,2.5408148765563965
5,0.3683035671710968,2.588477611541748,0.5,2.4963064193725586
6,0.4582863450050354,2.400515556335449,0.5900735259056091,2.2287349700927734
7,0.5446428656578064,2.2210166454315186,0.5370370149612427,2.239082098007202
8,0.5651071071624756,2.0865533351898193,0.6617646813392639,1.906437635421753
9,0.6227678656578064,1.8977464437484741,0.6481481194496155,1.9338605403900146
10,0.6443066596984863,1.8115065097808838,0.720588207244873,1.6453231573104858
11,0.703125,1.6260303258895874,0.7530864477157593,1.434222936630249
12,0.7023675441741943,1.5638025999069214,0.7720588445663452,1.37819504737854
13,0.7544642686843872,1.3424650430679321,0.7654321193695068,1.389919400215149
14,0.7522547841072083,1.3501486778259277,0.798713207244873,1.1762028932571411
15,0.7991071343421936,1.1930593252182007,0.8518518805503845,1.093056559562683
16,0.782130777835846,1.1664835214614868,0.8336396813392639,1.0003997087478638
17,0.8035714030265808,1.0708458423614502,0.8641975522041321,0.9765480160713196
18,0.8114430904388428,1.0373828411102295,0.8529411554336548,0.8952239751815796
19,0.84375,0.9325312376022339,0.8703703880310059,0.8097256422042847
